"id","st_num","st_name","parcel_id"
"1","140","AshelandAve.","1"
"2","Rearof140","AshelandAve.","1"
"4715","1801/2","AshelandAvenue","4714"
"4716","","","4714"
"4717","82","LivingstonSt","4715"
"4718","","","4715"
"4719","86","LivingstonSt","4716"
"4720","","","4716"
"9453","Acrossfrom9","LouieStreetAshevilleN.C","9439"
"9454","","","9439"
"14165","118","LivingstonSt","14148"
"14166","","","14148"
"14211","N/WCor.","DepostSt.andSouthernStreet","14171"
"14212","","","14171"
"9455","OnLouisstreetofRandellStreet","AshevilleN.C,","9440"
"9456","","","9440"
"14167","Joins128","LivingstonSt","14149"
"14168","","","14149"
"14213","Acrossfrom20","PalmerStreet","14172"
"14214","","","14172"
"9457","28LouisStreet","AshevilleN.C,","9441"
"9458","","","9441"
"14169","128","LivingstonSt","14150"
"14170","","","14150"
"14215","Adjoins5","PalmerStreet","14173"
"14216","","","14173"
"14171","130","LivingstonSt","14151"
"14172","","","14151"
"14217","493","S.FrenchBroadAvenue","14174"
"14218","","","14174"
"14173","114,1141/2,120","LouieStreet(Curve)","14152"
"14174","","","14152"
"14219","Acrossfrom508","SouthFrenchBroad","14175"
"14220","","","14175"
"14175","108","LouieSt(Curve)","14153"
"14176","","","14153"
"14221","Acrossfrom498","S.FrenchBroadAve","14176"
"14222","","","14176"
"14177","109","LouieSt(Curve)","14154"
"14178","","","14154"
"14223","12","WaterSt.","14177"
"14224","","","14177"
"14179","96","Louie(Curve)St","14155"
"14180","","","14155"
"14181","Adjoins96","LouieSt","14156"
"14182","","","14156"
"14227","73","BlackSt.","14179"
"14228","","","14179"
"14183","62","GrahamStreet","14157"
"14184","","","14157"
"14229","138","LivingstoneStreet","14180"
"14230","","","14180"
"14185","78","LouieSt","14158"
"14186","","","14158"
"14231","52","LivingstonSt.","14181"
"14232","","","14181"
"14187","74","LouieSt","14159"
"14188","","","14159"
"14189","58","LouieSt","14160"
"14190","","","14160"
"14191","48","CornerofLouieStreetandDepotstreet","14161"
"14192","","","14161"
"14193","3","GrahamPlace","14162"
"14194","","","14162"
"14195","5","AlleyoffDepotatLouiseStreetorGrahamPlace","14163"
"14196","","","14163"
"14197","5","AlleyoffDepotatLouieStreetorGrahamPlace","14164"
"14198","","","14164"
"14199","7","GrahamSt","14165"
"14200","","","14165"
"14201","Adjoins58","GrahamPlace","14166"
"14202","","","14166"
"14203","Adjoins58","GrahamPlace","14167"
"14204","","","14167"
"14205","Adjoins58","GrahamPlace","14168"
"14206","","","14168"
"14207","N/ECor.","SouthernSt.andGrahamStreet","14169"
"14208","","","14169"
"9433","94","LivingstonSt","9429"
"9434","","","9429"
"9435","98","LivingstonSt","9430"
"9436","","","9430"
"9437","Rear101-104","LivingstonSt","9431"
"9438","","","9431"
"9439","98","LivingstonSt","9432"
"9440","","","9432"
"9441","94","LivingstonSt","9433"
"9442","","","9433"
"9443","100","LivingstonSt","9434"
"9444","","","9434"
"9445","Adj.104","LivingstonSt","9435"
"9446","","","9435"
"9447","108","LivingstonSt","9436"
"9448","","","9436"
"9449","116","LivingstonSt","9437"
"9450","","","9437"
"9451","467-491","s.FrenchBroadAve.","9438"
"9452","","","9438"
"14209","N/S","SouthernStreet","14170"
"14210","","","14170"
