,Parcel_ID,Block #,Parcel #,Ward #,Land use
0,0,1,2,4,Commercial
1,1,1,3,4,Commercial
2,2,1,4,4,Commercial
3,3,1,5,4,Residential
4,4,1,6,4,Commercial
5,5,1,7,4,Commercial
6,6,1,8,4,Residential
7,7,1,9,4,Commercial
8,8,1,10,4,Commercial
9,9,1,11,4,Commercial
10,10,1,12,4,"Residential
Commercial"
11,11,1,13,4,Commercial
12,12,1,13A,4,Commercial
13,13,1,14,4,"Commercial
Residential"
14,14,1,15,4,Commercial
15,15,1,16,4,Residential
16,16,1,17,4,Residential
17,17,1,18,4,Residential
18,18,1,19,4,Commercial
19,19,1,20,4,Commercial
20,20,1,21,4,Commercial
21,21,1,22,4,Commercial
22,22,1,24,4,Commercial
23,23,1,25,4,Commercial
24,24,1,27,4,Residential
25,25,1,28,4,Commercial
26,26,1,29,4,Commercial
27,27,1,30,4,Commercial
28,28,1,31,4,Residential
29,29,1,32,4,Commercial
30,30,1,33,4,Commercial
31,31,1,34,4,Commercial
32,32,1,35,4,Commercial
33,33,1,36,4,Residential
34,34,1,37,4,Commercial
35,35,1,38,4,
36,36,1,39,4,
37,37,1,40,4,Commercial
38,38,1,41,4,
39,39,1,42,4,Commercial
40,40,1,43,4,Commercial
41,41,1,44,4,Commercial
42,42,1,45,4,Commercial
43,43,1,46,4,Commercial
44,44,1,47,4,Commercial
45,45,1,48,4,Commercial
46,46,1,49,4,Commercial
47,47,1,50,4,Commercial
48,48,1,51,4,Commercial
49,49,2,1, ,Commercial
50,50,2,2,4,
52,51,14,1,4,Residential
53,52,14,2,4,Commercial
54,53,14,8,4,Residential
55,54,14,12,4,Residential
56,55,14,13,4,Residential
57,56,14,14,4,Residential
58,57,14,15,4,Residential
59,58,14,16,4,Residential
60,59,15,1,4,Residential
61,60,15,2,4,Residential
62,61,15,7,4,Residential
63,62,15,8,4,Residential
64,63,15,12,4,Residential
65,64,15,13,4,Residential
66,65,15,14,4,Residential
67,66,15,15,4,Residential
68,67,15,16,4,Residential
69,68,15,17,4,Residential
70,69,15,18,4,Residential
71,70,15,19,4,Residential
73,71,34,1,4,Commercial
74,72,34,1,4,Commercial
75,73,34,2,4,Residential
