block,parcel,final_price,Prelimiry Title Search,offer_made,offer_accepted,Closed,rejected,Approved for Condemnation,Assigned to Attorney,Petition Filed,Commissioners Hearing,Order Vesting Title,final_title,Assigned to Relocation,Vacated,Assigned for Demolition,removed
1,2,8500,4/24/69,3/1/69,3/1/69,6/6/69,,,,,,6/4/69,6/6/69,,,,
1,3,15000,,9/28/69,8/6/69,,,12/13/70,,7/15/71,6/9/71,6/16/71,6/17/71,7/15/71,10/8/71,,
1,4,35500,11/6/69,6/16/70,,7/13/72,,11/9/71,,8/22/72,6/28/72,7/12/72,7/13/72,7/13/72,,,
1,5,8000,10/30/69,11/17/69,5/7/74,,,,5/8/74,,,5/15/74,5/29/74,5/29/74,,,
1,6,40000,6/6/74,,,,,,9/24/74,,,10/8/74,10/9/74,10/14/74,,,
1,7,60000,10/29/74,10/18/74,,,,11/12/74,11/13/74,,4/2/76,4/7/76,4/12/76,,,,
1,8,10500,10/29/69,11/18/69,,12/9/69,,,,,,12/9/69,,,,,
1,9,8300,9/18/69,8/26/69,8/26/69,9/26/69,,,,,,9/26/69,9/26/69,9/26/69,6/8/70,6/17/70,6/22/70
1,10,28800,5/14/74,7/22/74,,,7/22/74,8/13/74,8/20/74,11/12/75,3/19/76,3/26/76,3/30/76,,,,
1,11,8000,11/3/69,11/18/69,,9/3/70,,2/10/70,2/10/70,3/13/70,,9/1/70,9/3/70,9/3/70,3/17/72,5/31/72,7/6/72
1,12,18450,6/18/74,7/22/74,,,7/22/74,8/13/74,8/20/74,3/26/76,3/19/76,3/26/76,3/30/76,,,,
1,13,9950,4/24/74,5/21/74,6/7/74,,,,6/7/74,,,8/28/74,8/30/74,9/4/74,,,
1,13A,750,4/29/74,,,,,8/13/74,8/20/74,3/26/76,3/18/76,3/26/76,3/30/76,,,,
1,14,4500,3/4/69,1/17/69,,7/10/69,,,,,,7/10/69,7/10/69,7/10/69,6/1/70,7/10/70,7/21/70
1,15,1750,12/13/68,11/8/69,,1/23/69,,,,,,1/23/69,1/23/69,,,,
1,16,1500,11/12/69,6/15/70,6/16/70,,,7/21/70,7/22/70,8/17/76,8/5/76,8/12/76,8/17/76,,,,9/13/71
1,17,4000,10/31/69,5/17/70,5/27/70,,,7/21/70,,,12/19/73,1/2/74,1/7/74,,,,6/21/71
1,18,4300,11/5/69,5/15/70,,,,,,,,3/16/76,3/23/76,3/25/76,,,
1,19,2250,11/11/69,6/9/70,,8/31/70,,,,,,8/31/70,8/31/70,,,,
1,20,3500,7/2/69,6/19/69,,7/15/69,,,,,,7/15/69,7/15/69,7/15/69,,5/19/71,6/10/71
1,21,2300,5/26/69,5/5/69,,3/19/70,,,,,,3/19/70,3/19/70,,,,
1,22,2750,,5/14/70,,,,,,,10/28/76,,,,,,
1,24,8000,2/14/69,,,9/1/70,,2/25/69,2/21/69,3/31/71,9/1/70,,,9/3/70,10/18/71,10/27/71,10/26/71
1,25,3500,1/28/69,12/18/69,,2/21/69,,2/24/69,2/24/69,,,,2/24/69,,,,
1,27,4000,7/29/69,12/9/69,,,,,,,,5/27/75,5/29/75,,,,
1,28,1100,11/13/69,3/24/70,,,,,,,8/5/74,8/12/76,8/17/76,8/20/76,,,
1,29,750,11/13/69,,,,,12/18/70,,,10/7/76,,,,,,
1,30,1700,3/17/69,3/14/69,,9/4/69,,5/6/69,,3/31/71,,9/14/70,9/15/70,,,,
1,31,4500,3/17/69,2/20/69,,4/3/69,,,,,,4/3/69,4/3/69,4/3/69,6/2/69,10/24/69,1/24/70
1,32,,,,,,,,,,,,,,,,
1,33,2250,5/22/69,4/18/69,,10/23/69,,,,,,10/23/69,10/23/69,10/23/69,,2/2/70,1/12/70
1,34,2000,11/24/69,5/19/70,,8/10/70,,,,,,8/10/70,8/10/70,,,,
1,35,600,5/15/69,5/7/69,,4/5/69,,,,,,5/28/69,6/6/69,,,,
1,36,6500,11/18/69,7/13/70,,8/4/70,,,,,,8/5/70,8/5/70,8/5/70,7/28/71,8/13/71,8/18/70
1,37,600,11/18/69,11/28/69,,,,,,,,2/25/70,2/25/70,,,,
1,38,6500,6/11/70,5/11/70,,6/16/70,,,,,,6/17/70,6/17/70,6/17/70,6/29/70,7/28/70,8/26/70
